id,schema_name
s1,Acinetobacter_baumannii
s2,Bacillus_anthracis
s3,Bordetella_pertussis
s4,Brucella_melitensis
s5,Brucella_spp
s6,Burkholderia_mallei_FLI
s7,Burkholderia_mallei_RKI
s8,Burkholderia_pseudomallei
s9,Campylobacter_jejuni_coli
s10,Citrobacter_freundii
s11,Citrobacter_freundii_portucalensis_braakii_europaeus
s12,Clostridioides_difficile
s13,Clostridium_perfringens
s14,Corynebacterium_diphtheriae
s15,Corynebacterium_pseudotuberculosis
s16,Cronobacter_sakazakii_malonaticus
s17,Enterobacter_hormaechei
s18,Enterococcus_faecalis
s19,Enterococcus_faecium
s20,Escherichia_coli
s21,Francisella_tularensis
s22,Klebsiella_oxytoca_grimontii_michiganensis_pasteurii
s23,Klebsiella_pneumoniae_variicola_quasipneumoniae
s24,Legionella_pneumophila
s25,Listeria_monocytogenes
s26,Morganella_morganii
s27,Mycobacterium_tuberculosis_bovis_africanum_canettii
s28,Mycobacteroides_abscessus
s29,Mycoplasma_gallisepticum
s30,Paenibacillus_larvae
s31,Proteus_mirabilis
s32,Providencia_stuartii
s33,Pseudomonas_aeruginosa
s34,Salmonella_enterica
s35,Serratia_marcescens
s36,Staphylococcus_argenteus
s37,Staphylococcus_aureus
s38,Staphylococcus_capitis
s39,Streptococcus_pyogenes
s40,Yersinia_enterocolitica
